,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1
营收,27140165000.0,27270406000.0,24011301000.0,25046287000.0,25354129000.0,24426760000.0,23159078000.0,23555842000.0
毛利润,16825135000.0,16966300000.0,14375413000.0,14896546000.0,13244364000.0,13743892000.0,12941491000.0,12836379000.0
营业利润,6868491000.0,7557909000.0,6062654000.0,7220090000.0,4433447000.0,4741776000.0,4946331000.0,5507039000.0
净利润,6582263000.0,7836888000.0,8242767000.0,6754634000.0,3952737000.0,6699364000.0,5291476000.0,4394023000.0
市值,487734250074.8,550594910196.8,550594910196.8,550594910196.8,550594910196.8,550594910196.8,550594910196.8,550594910196.8
PE,15.025368442324,16.961883211824,16.961883211824,16.961883211824,16.961883211824,16.961883211824,16.961883211824,16.961883211824
股本,3223623596.0,3223623596.0,3223623596.0,3223623596.0,3223623596.0,3223623596.0,3223623596.0,3223623596.0
