,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1
营收,22103000000.0,18120000000.0,13507000000.0,7192000000.0,6051000000.0,5931000000.0,6704000000.0,8288000000.0
毛利润,16791000000.0,13400000000.0,9462000000.0,4648000000.0,3833000000.0,3177000000.0,2915000000.0,5431000000.0
营业利润,13615000000.0,10417000000.0,6800000000.0,2140000000.0,1257000000.0,601000000.0,499000000.0,1868000000.0
净利润,12285000000.0,9243000000.0,6188000000.0,2043000000.0,1414000000.0,680000000.0,656000000.0,1618000000.0
市值,2200200000000.0,2200200000000.0,2200200000000.0,2200200000000.0,2200200000000.0,2200200000000.0,2200200000000.0,2200200000000.0
PE,73.931451612903,73.931451612903,73.931451612903,73.931451612903,73.931451612903,73.931451612903,73.931451612903,73.931451612903
股本,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0
