,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1
营收,88881036000.0,68840371000.0,52280748000.0,37637050000.0,39820028000.0,35504304000.0,31439568000.0,23793689000.0
毛利润,53802764000.0,42010138000.0,33590961000.0,26511765000.0,30893323000.0,28090172000.0,23477702000.0,16634094000.0
营业利润,22394968000.0,16656021000.0,12718755000.0,6929018000.0,9113735000.0,10436613000.0,8697167000.0,2154406000.0
净利润,23280309000.0,15537122000.0,13108086000.0,8101027000.0,9453697000.0,10588574000.0,8896340000.0,2599451000.0
市值,156600561359.13,156600561359.13,156600561359.13,156600561359.13,156600561359.13,156600561359.13,156600561359.13,156600561359.13
PE,18.477738714031,18.477738714031,18.477738714031,18.477738714031,18.477738714031,18.477738714031,18.477738714031,18.477738714031
股本,1328587099.0,1328587099.0,1328587099.0,1328587099.0,1328587099.0,1328587099.0,1328587099.0,1328587099.0
