,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1
营收,32561000000.0,27948000000.0,27744000000.0,25217000000.0,28293000000.0,23128000000.0,21695000000.0,21067000000.0
毛利润,17292000000.0,14453000000.0,13934000000.0,11712000000.0,12876000000.0,10703000000.0,9770000000.0,8782000000.0
营业利润,3622000000.0,2211000000.0,1296000000.0,-698000000.0,-1243000000.0,-2613000000.0,-3059000000.0,-5643000000.0
净利润,3608000000.0,2181000000.0,1480000000.0,-873000000.0,-1547000000.0,-2713000000.0,-3176000000.0,-6254000000.0
市值,215649124333.5,215649124333.5,215649124333.5,215649124333.5,215649124333.5,215649124333.5,215649124333.5,215649124333.5
PE,30.554338563712,30.554338563712,30.554338563712,30.554338563712,30.554338563712,30.554338563712,30.554338563712,30.554338563712
股本,4343386190.0,4343386190.0,4343386190.0,4343386190.0,4343386190.0,4343386190.0,4343386190.0,4343386190.0
