,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1
营收,155196000000.0,154625000000.0,149208000000.0,149986000000.0,144954000000.0,140093000000.0,134034000000.0,135471000000.0
毛利润,77564000000.0,76523000000.0,70840000000.0,68182000000.0,61822000000.0,61983000000.0,57867000000.0,57074000000.0
营业利润,40761000000.0,44966000000.0,36881000000.0,37466000000.0,-2040000000.0,49265000000.0,28122000000.0,35480000000.0
净利润,27025000000.0,36182000000.0,26171000000.0,25838000000.0,106268000000.0,39943000000.0,18619000000.0,23413000000.0
市值,2884565558441.4,2884565558441.4,2884565558441.4,2884565558441.4,2884565558441.4,2884565558441.4,2884565558441.4,2884565558441.4
PE,22.688263786026,22.688263786026,22.688263786026,22.688263786026,22.688263786026,22.688263786026,22.688263786026,22.688263786026
股本,9445204841.0,9445204841.0,9445204841.0,9445204841.0,9445204841.0,9445204841.0,9445204841.0,9445204841.0
