,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1
营收,119575000000.0,89498000000.0,81797000000.0,94836000000.0,117154000000.0,90146000000.0,82959000000.0,97278000000.0
毛利润,54855000000.0,40427000000.0,36413000000.0,41976000000.0,50332000000.0,38095000000.0,35885000000.0,42559000000.0
营业利润,40373000000.0,26969000000.0,22998000000.0,28318000000.0,36016000000.0,24894000000.0,23076000000.0,29979000000.0
净利润,33916000000.0,22956000000.0,19881000000.0,24160000000.0,29998000000.0,20721000000.0,19442000000.0,25010000000.0
市值,2618634179980.0,2618634179980.0,2618634179980.0,2618634179980.0,2618634179980.0,2618634179980.0,2618634179980.0,2618634179980.0
PE,25.949423562673,25.949423562673,25.949423562673,25.949423562673,25.949423562673,25.949423562673,25.949423562673,25.949423562673
股本,15441881000.0,15441881000.0,15441881000.0,15441881000.0,15441881000.0,15441881000.0,15441881000.0,15441881000.0
