,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1
营收,306077000000.0,247698000000.0,287931000000.0,242956000000.0,295446000000.0,243535000000.0,267600000000.0,239655000000.0
毛利润,43502000000.0,38751000000.0,41433000000.0,36018000000.0,41537000000.0,36196000000.0,35894000000.0,33446000000.0
营业利润,12361000000.0,9303000000.0,8270000000.0,6427000000.0,4828000000.0,8729000000.0,3757000000.0,2409000000.0
净利润,3389000000.0,7936000000.0,6581000000.0,6261000000.0,3032000000.0,5963000000.0,4376000000.0,-2991000000.0
市值,325280554754.1,345630462382.9,345630462382.9,345630462382.9,345630462382.9,345630462382.9,345630462382.9,345630462382.9
PE,12.197448766055,12.96053451486,12.96053451486,12.96053451486,12.96053451486,12.96053451486,12.96053451486,12.96053451486
股本,3179673067.0,3179673067.0,3179673067.0,3179673067.0,3179673067.0,3179673067.0,3179673067.0,3179673067.0
